               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061706,            0.037186,            0.019352,             0.56765,             0.53375,             0.52824,             0.26166,            0.048884,            0.028638,            0.017649,           0.0046483,           0.0046483,            0.056648
                  37,            0.061179,            0.037306,            0.018376,             0.46635,             0.50368,             0.44359,             0.15803,             0.05772,            0.028199,            0.017086,           0.0047655,           0.0047655,            0.055466
                  38,            0.064499,            0.034927,            0.018866,             0.42341,             0.49099,             0.41258,             0.14973,            0.064917,            0.027873,            0.016885,           0.0048821,           0.0048821,            0.054282
                  39,            0.069805,            0.037782,            0.018571,             0.57774,             0.47332,             0.50369,             0.19375,             0.05537,            0.028285,            0.017073,           0.0049979,           0.0049979,            0.053098
                  40,            0.065386,            0.038996,            0.018614,              0.4848,             0.46743,             0.42735,             0.15222,            0.063945,            0.026965,            0.016595,            0.005113,            0.005113,            0.051913
                  41,            0.068069,            0.036498,            0.019455,             0.47938,             0.48585,             0.45209,             0.17892,            0.059407,            0.027443,            0.016337,           0.0052274,           0.0052274,            0.050727
                  42,            0.064823,            0.034899,            0.017707,             0.53219,             0.51285,             0.52361,             0.22236,            0.052525,            0.027388,            0.015713,            0.005341,            0.005341,            0.049541
                  43,            0.062185,            0.036119,             0.01773,             0.39999,             0.48657,             0.41308,             0.13203,            0.060444,            0.027265,            0.015313,           0.0054539,           0.0054539,            0.048354
                  44,            0.065262,            0.033583,            0.017567,             0.52042,             0.53207,             0.52361,             0.22349,            0.051586,            0.027645,            0.015355,           0.0055659,           0.0055659,            0.047166
                  45,            0.062156,            0.033426,            0.017898,             0.53915,             0.54905,             0.55356,              0.2617,            0.051223,            0.027557,            0.015106,           0.0056772,           0.0056772,            0.045977
                  46,            0.061296,            0.035011,              0.0172,             0.48242,             0.53272,             0.46774,              0.2023,             0.05604,            0.027588,            0.014618,           0.0057876,           0.0057876,            0.044788
                  47,            0.063736,            0.036175,            0.015687,             0.56251,              0.5535,             0.54443,             0.25436,            0.050159,            0.027259,            0.014213,           0.0058972,           0.0058972,            0.043597
                  48,            0.061021,            0.035301,            0.016366,             0.54521,             0.54321,             0.54931,             0.24312,             0.05143,            0.027447,            0.013513,            0.006006,            0.006006,            0.042406
                  49,            0.058974,            0.034762,            0.015848,             0.55322,             0.57005,             0.56031,             0.25543,            0.047753,            0.027187,            0.013399,           0.0061139,           0.0061139,            0.041214
                  50,            0.062088,            0.035031,            0.014842,               0.502,             0.54008,             0.50057,             0.20646,            0.051735,            0.026604,             0.01325,           0.0062209,           0.0062209,            0.040021
                  51,            0.061361,             0.03508,            0.015447,             0.51183,             0.57042,             0.52484,              0.2256,            0.050696,            0.027083,            0.013714,            0.006327,            0.006327,            0.038827
                  52,            0.059682,            0.036601,            0.015203,             0.59724,              0.5327,             0.53618,             0.20196,            0.058321,            0.025808,            0.013042,           0.0064322,           0.0064322,            0.037632
                  53,             0.06148,            0.035636,            0.014682,             0.63558,             0.59221,              0.5996,             0.28738,            0.047923,            0.026219,            0.012573,           0.0065365,           0.0065365,            0.036436
                  54,            0.061612,            0.035458,            0.014733,             0.57703,             0.60271,             0.59702,             0.29338,            0.049121,             0.02664,             0.01249,           0.0066398,           0.0066398,             0.03524
                  55,            0.056363,            0.036296,            0.014496,             0.60888,             0.56501,             0.59291,              0.2457,            0.049295,            0.025909,            0.012251,           0.0067422,           0.0067422,            0.034042
                  56,            0.058001,            0.032563,            0.013505,             0.61563,              0.5458,             0.58468,             0.25609,            0.049109,            0.025474,            0.012102,           0.0068436,           0.0068436,            0.032844
                  57,            0.060719,            0.035014,            0.013908,             0.65373,             0.56468,             0.59049,             0.24355,             0.05472,            0.025353,            0.011893,           0.0069441,           0.0069441,            0.031644
                  58,            0.056389,             0.03419,            0.014217,             0.52309,             0.57707,             0.54051,             0.25781,            0.048638,            0.025722,             0.01184,           0.0070435,           0.0070435,            0.030444
                  59,            0.054565,            0.033563,            0.014016,             0.69931,             0.57623,             0.64525,             0.32479,            0.044198,            0.025966,            0.011591,           0.0071419,           0.0071419,            0.029242
                  60,            0.058494,            0.035772,             0.01349,             0.65908,              0.5516,             0.61434,             0.30114,            0.051566,            0.025853,            0.011365,           0.0072393,           0.0072393,            0.028039
                  61,            0.054788,            0.036778,            0.013272,             0.59097,             0.59912,             0.60156,             0.26123,            0.050384,            0.025562,            0.011213,           0.0073357,           0.0073357,            0.026836
                  62,            0.054958,            0.034757,            0.013028,             0.64429,             0.66921,             0.66356,             0.32519,            0.043841,            0.025333,            0.010873,            0.007431,            0.007431,            0.025631
                  63,            0.054787,            0.033891,            0.012628,             0.63957,             0.63474,             0.66438,             0.34147,            0.046176,            0.025159,            0.010634,           0.0075253,           0.0075253,            0.024425
                  64,            0.055172,            0.032474,            0.011862,             0.55372,             0.55693,             0.54914,             0.24916,            0.051223,            0.025562,            0.010897,           0.0076185,           0.0076185,            0.023218
                  65,            0.065338,             0.03278,            0.012897,             0.58398,             0.56457,             0.56262,              0.2689,             0.05047,            0.025386,              0.0109,           0.0077106,           0.0077106,            0.022011
                  66,            0.060656,            0.034383,            0.012784,             0.59142,             0.52636,             0.54301,              0.2011,              0.0569,            0.025291,             0.01089,           0.0078016,           0.0078016,            0.020802
                  67,            0.058791,            0.033835,            0.012609,             0.56801,             0.63036,             0.60425,              0.2848,            0.050398,            0.024605,            0.010673,           0.0078914,           0.0078914,            0.019591
                  68,            0.056817,            0.033197,            0.012993,             0.51658,               0.649,             0.57211,             0.24574,            0.053902,            0.024874,            0.010821,           0.0079802,           0.0079802,             0.01838
                  69,            0.060619,            0.035401,            0.013124,              0.6203,             0.63385,             0.64152,             0.32602,            0.044872,            0.025308,            0.010972,           0.0080678,           0.0080678,            0.017168
                  70,            0.056075,            0.037335,            0.012822,             0.55222,             0.65269,             0.59966,             0.29761,            0.046911,            0.025935,             0.01074,           0.0081543,           0.0081543,            0.015954
                  71,            0.052908,            0.033598,            0.012417,             0.58406,             0.58994,             0.59508,              0.2894,            0.048843,            0.024897,            0.010086,           0.0082396,           0.0082396,             0.01474
                  72,            0.057425,            0.035669,            0.012248,             0.54906,             0.63454,             0.61687,             0.25797,            0.047744,            0.025403,           0.0097549,           0.0083238,           0.0083238,            0.013524
                  73,            0.058117,            0.035795,            0.012138,             0.59957,             0.68531,             0.66172,             0.30274,            0.045683,            0.025471,            0.010158,           0.0084068,           0.0084068,            0.012307
                  74,            0.056401,              0.0309,            0.011506,             0.57126,             0.69421,             0.65102,              0.3314,            0.049137,            0.025472,           0.0099078,           0.0084885,           0.0084885,            0.011089
